,nível,estado,Francisco Gross,Pacotuba,São João,data_hora
317,1.25,Estável,165.47,314.94,49.96,2022-02-21 06:00:00
318,1.2,Baixando,165.47,311.76,49.14,2022-02-21 08:00:00
319,1.17,Baixando,150.94,289.88,47.93,2022-02-21 10:00:00
320,1.15,Baixando,140.24,271.73,47.52,2022-02-21 12:00:00
321,1.13,Baixando,131.48,254.13,46.33,2022-02-21 14:00:00
322,1.05,Baixando,131.48,237.08,45.15,2022-02-21 16:00:00
323,0.97,Baixando,131.48,215.23,46.72,2022-02-21 18:00:00
347,1.13,Baixando,140.24,251.25,53.29,2022-12-14 00:00:00
324,1.24,Subindo,133.22,254.13,58.49,2022-12-14 01:00:00
325,1.21,Baixando,128.01,254.13,66.23,2022-12-14 02:00:00
326,1.21,Estável,129.74,251.25,72.94,2022-12-14 03:00:00
327,1.19,Baixando,159.99,239.89,74.92,2022-12-14 04:00:00
328,1.14,Baixando,163.64,231.53,74.92,2022-12-14 05:00:00
329,1.13,Baixando,184.08,228.77,72.94,2022-12-14 06:00:00
330,1.1,Baixando,185.97,226.03,70.51,2022-12-14 07:00:00
331,1.09,Baixando,184.08,223.31,68.59,2022-12-14 08:00:00
332,1.09,Estável,185.97,223.31,67.17,2022-12-14 09:00:00
333,1.07,Baixando,189.75,196.92,66.23,2022-12-14 10:00:00
334,1.08,Subindo,195.47,212.57,65.76,2022-12-14 11:00:00
335,1.1,Subindo,195.47,223.31,62.99,2022-12-14 12:00:00
336,1.13,Subindo,185.97,231.53,58.93,2022-12-14 13:00:00
337,1.17,Subindo,174.72,237.08,54.57,2022-12-14 14:00:00
338,1.2,Subindo,159.99,239.89,49.96,2022-12-14 15:00:00
339,1.21,Subindo,161.81,245.54,45.54,2022-12-14 16:00:00
340,1.23,Subindo,159.99,251.25,42.07,2022-12-14 17:00:00
341,1.24,Subindo,142.01,245.54,38.72,2022-12-14 18:00:00
342,1.25,Subindo,143.79,239.89,35.51,2022-12-14 19:00:00
343,1.26,Subindo,142.01,228.77,33.11,2022-12-14 20:00:00
344,1.25,Baixando,142.01,215.23,31.11,2022-12-14 21:00:00
345,1.21,Baixando,143.79,207.29,29.48,2022-12-14 22:00:00
346,1.18,Baixando,143.79,194.37,27.9,2022-12-14 23:00:00
348,1.11,Baixando,143.79,176.94,25.46,2022-12-15 01:00:00
349,1.07,Baixando,131.48,172.11,24.57,2022-12-15 02:00:00
350,1.05,Baixando,124.56,169.71,23.7,2022-12-15 03:00:00
351,1.0,Subindo,201.22,155.67,52.03,2022-12-18 12:00:00
352,1.02,Subindo,207.01,174.52,40.19,2022-12-18 14:00:00
353,1.0,Baixando,185.97,174.52,33.78,2022-12-18 16:00:00
354,0.96,Baixando,185.97,167.33,28.85,2022-12-18 18:00:00
360,0.95,Subindo,129.74,162.62,21.99,2022-12-19 00:00:00
355,0.89,Subindo,126.28,135.69,108.68,2022-12-19 19:00:00
356,0.91,Subindo,126.28,137.85,150.35,2022-12-19 20:00:00
357,0.92,Subindo,129.74,140.02,168.78,2022-12-19 21:00:00
358,0.92,Estável,136.72,140.02,179.87,2022-12-19 22:00:00
359,0.93,Subindo,136.72,142.21,185.16,2022-12-19 23:00:00
384,1.18,Baixando,154.54,146.63,181.38,2022-12-20 00:00:00
361,0.99,Subindo,171.01,157.97,174.66,2022-12-20 01:00:00
362,1.06,Subindo,171.01,172.11,168.05,2022-12-20 02:00:00
363,1.16,Subindo,185.97,189.31,160.86,2022-12-20 03:00:00
364,1.23,Subindo,185.97,204.67,150.35,2022-12-20 04:00:00
365,1.23,Estável,193.56,217.91,136.19,2022-12-20 05:00:00
366,1.32,Subindo,184.08,226.03,119.58,2022-12-20 06:00:00
367,1.34,Subindo,187.86,234.3,103.42,2022-12-20 07:00:00
368,1.38,Subindo,185.97,239.89,88.9,2022-12-20 08:00:00
369,1.33,Baixando,185.97,245.54,76.92,2022-12-20 09:00:00
370,1.39,Subindo,185.97,251.25,68.12,2022-12-20 10:00:00
371,1.41,Subindo,184.08,259.93,61.17,2022-12-20 11:00:00
372,1.39,Baixando,184.08,262.86,55.86,2022-12-20 12:00:00
373,1.38,Baixando,184.08,265.8,50.78,2022-12-20 13:00:00
374,1.37,Baixando,182.2,265.8,47.12,2022-12-20 14:00:00
375,1.34,Baixando,184.08,268.76,43.98,2022-12-20 15:00:00
376,1.31,Baixando,174.72,259.93,41.69,2022-12-20 16:00:00
377,1.29,Baixando,165.47,257.02,39.46,2022-12-20 17:00:00
378,1.27,Baixando,150.94,248.38,38.0,2022-12-20 18:00:00
379,1.25,Baixando,133.22,242.7,36.57,2022-12-20 19:00:00
380,1.24,Baixando,133.22,239.89,35.16,2022-12-20 20:00:00
381,1.21,Baixando,133.22,237.08,34.47,2022-12-20 21:00:00
382,1.21,Estável,134.97,234.3,33.44,2022-12-20 22:00:00
383,1.21,Estável,142.01,231.53,36.21,2022-12-20 23:00:00
408,1.74,Subindo,140.24,226.03,43.98,2022-12-21 00:00:00
385,1.17,Baixando,143.79,217.91,49.55,2022-12-21 01:00:00
386,1.14,Baixando,143.79,207.29,55.86,2022-12-21 02:00:00
387,1.12,Baixando,147.35,196.92,58.49,2022-12-21 03:00:00
388,1.09,Baixando,149.14,194.37,61.62,2022-12-21 04:00:00
389,1.08,Baixando,165.47,189.31,67.64,2022-12-21 05:00:00
390,1.08,Estável,197.38,191.83,75.92,2022-12-21 06:00:00
391,1.08,Estável,228.57,196.92,85.69,2022-12-21 07:00:00
392,1.12,Subindo,226.59,207.29,92.71,2022-12-21 08:00:00
393,1.13,Subindo,240.54,217.91,101.12,2022-12-21 09:00:00
394,1.15,Subindo,244.57,223.31,108.68,2022-12-21 10:00:00
395,1.17,Subindo,277.3,228.77,114.07,2022-12-21 11:00:00
396,1.19,Subindo,287.72,242.7,115.9,2022-12-21 12:00:00
397,1.25,Subindo,310.97,262.86,115.29,2022-12-21 13:00:00
398,1.32,Subindo,321.68,286.82,112.26,2022-12-21 14:00:00
399,1.38,Subindo,334.64,311.76,112.86,2022-12-21 15:00:00
400,1.44,Subindo,349.91,334.38,106.91,2022-12-21 16:00:00
401,1.5,Subindo,380.93,347.64,98.84,2022-12-21 17:00:00
402,1.53,Subindo,374.23,364.56,96.03,2022-12-21 18:00:00
403,1.57,Subindo,360.92,374.89,98.27,2022-12-21 19:00:00
404,1.59,Subindo,338.99,385.36,90.52,2022-12-21 20:00:00
405,1.65,Subindo,328.14,406.71,82.03,2022-12-21 21:00:00
406,1.66,Subindo,306.71,421.24,74.42,2022-12-21 22:00:00
407,1.71,Subindo,300.35,443.48,68.12,2022-12-21 23:00:00
432,1.23,Baixando,294.02,458.61,63.44,2022-12-22 00:00:00
409,1.77,Subindo,287.72,462.43,59.82,2022-12-22 01:00:00
410,1.79,Subindo,279.38,466.27,55.86,2022-12-22 02:00:00
411,1.79,Subindo,277.3,458.61,53.29,2022-12-22 03:00:00
412,1.79,Estável,273.15,451.02,50.37,2022-12-22 04:00:00
413,1.77,Baixando,269.02,432.29,48.33,2022-12-22 05:00:00
414,1.75,Baixando,266.97,410.32,46.33,2022-12-22 06:00:00
415,1.7,Baixando,258.77,395.97,44.37,2022-12-22 07:00:00
416,1.68,Baixando,248.6,381.86,43.21,2022-12-22 08:00:00
417,1.63,Baixando,240.54,361.15,41.69,2022-12-22 09:00:00
418,1.58,Baixando,228.57,354.36,40.56,2022-12-22 10:00:00
419,1.53,Baixando,218.71,344.3,39.46,2022-12-22 11:00:00
420,1.51,Baixando,220.67,334.38,38.72,2022-12-22 12:00:00
421,1.49,Baixando,220.67,321.36,38.0,2022-12-22 13:00:00
422,1.47,Baixando,218.71,318.14,37.64,2022-12-22 14:00:00
423,1.42,Baixando,216.75,308.58,36.92,2022-12-22 15:00:00
424,1.41,Baixando,214.79,296.05,36.57,2022-12-22 16:00:00
425,1.38,Baixando,212.84,283.77,35.86,2022-12-22 17:00:00
426,1.34,Baixando,210.89,274.71,36.21,2022-12-22 18:00:00
427,1.31,Baixando,197.38,265.8,35.51,2022-12-22 19:00:00
428,1.27,Baixando,199.3,259.93,34.47,2022-12-22 20:00:00
429,1.27,Estável,201.22,257.02,34.13,2022-12-22 21:00:00
430,1.24,Baixando,205.08,251.25,33.44,2022-12-22 22:00:00
431,1.25,Subindo,210.89,248.38,33.11,2022-12-22 23:00:00
433,1.22,Baixando,208.95,242.7,33.11,2022-12-23 01:00:00
434,1.21,Baixando,207.01,234.3,33.78,2022-12-23 02:00:00
435,1.21,Estável,205.08,228.77,33.78,2022-12-23 03:00:00
436,1.17,Baixando,205.08,226.03,33.78,2022-12-23 04:00:00
437,1.16,Baixando,203.15,220.6,33.44,2022-12-23 05:00:00
438,1.15,Baixando,195.47,223.31,32.77,2022-12-23 06:00:00
439,1.15,Estável,195.47,220.6,32.1,2022-12-23 07:00:00
440,1.15,Estável,195.47,220.6,31.43,2022-12-23 08:00:00
441,1.16,Subindo,191.65,220.6,30.78,2022-12-23 09:00:00
442,1.13,Baixando,189.75,212.57,30.13,2022-12-23 10:00:00
443,1.13,Estável,185.97,209.92,29.8,2022-12-23 11:00:00
444,1.13,Estável,180.32,207.29,29.16,2022-12-23 12:00:00
445,1.09,Baixando,165.47,202.08,28.85,2022-12-23 13:00:00
446,1.1,Subindo,158.17,199.49,27.9,2022-12-23 14:00:00
447,1.07,Baixando,158.17,194.37,27.59,2022-12-23 15:00:00
448,1.07,Estável,158.17,189.31,26.97,2022-12-23 16:00:00
449,1.05,Baixando,158.17,189.31,26.36,2022-12-23 17:00:00
450,1.03,Baixando,158.17,186.81,25.76,2022-12-23 18:00:00
451,1.02,Baixando,147.35,181.84,25.46,2022-12-23 19:00:00
452,1.0,Baixando,140.24,176.94,24.57,2022-12-23 20:00:00
453,0.99,Baixando,140.24,169.71,24.28,2022-12-23 21:00:00
454,0.95,Baixando,140.24,162.62,23.99,2022-12-23 22:00:00
455,1.08,Subindo,159.99,226.03,26.97,2022-12-27 03:00:00
456,1.13,Subindo,159.99,239.89,26.97,2022-12-27 04:00:00
457,1.18,Subindo,145.57,248.38,26.36,2022-12-27 05:00:00
458,1.21,Subindo,143.79,248.38,25.76,2022-12-27 06:00:00
459,1.23,Subindo,143.79,237.08,25.46,2022-12-27 07:00:00
460,1.22,Baixando,143.79,226.03,24.57,2022-12-27 08:00:00
461,1.2,Baixando,134.97,215.23,24.28,2022-12-27 09:00:00
462,1.16,Baixando,136.72,202.08,23.99,2022-12-27 10:00:00
463,1.13,Baixando,136.72,191.83,23.7,2022-12-27 11:00:00
464,1.06,Baixando,126.28,179.39,23.41,2022-12-27 12:00:00
465,1.03,Baixando,126.28,169.71,22.84,2022-12-27 13:00:00
476,1.42,Baixando,80.38,115.01,108.09,2023-01-07 00:00:00
466,1.0,Subindo,279.38,131.43,88.9,2023-01-07 12:00:00
467,1.05,Subindo,264.91,196.92,76.92,2023-01-07 14:00:00
468,1.05,Estável,240.54,296.05,64.37,2023-01-07 16:00:00
469,1.1,Subindo,232.55,321.36,60.27,2023-01-07 17:00:00
470,1.2,Subindo,228.57,331.1,61.17,2023-01-07 18:00:00
471,1.3,Subindo,234.54,331.1,64.37,2023-01-07 19:00:00
472,1.39,Subindo,248.6,324.59,68.59,2023-01-07 20:00:00
473,1.44,Subindo,287.72,311.76,76.92,2023-01-07 21:00:00
474,1.44,Estável,328.14,302.29,88.36,2023-01-07 22:00:00
475,1.45,Subindo,330.31,292.96,99.97,2023-01-07 23:00:00
500,1.37,Estável,328.14,296.05,112.26,2023-01-08 00:00:00
477,1.37,Baixando,328.14,311.76,117.12,2023-01-08 01:00:00
478,1.34,Baixando,310.97,351.0,123.96,2023-01-08 02:00:00
479,1.33,Baixando,310.97,399.53,139.5,2023-01-08 03:00:00
480,1.31,Baixando,302.47,443.48,145.56,2023-01-08 04:00:00
481,1.33,Subindo,300.35,462.43,144.88,2023-01-08 05:00:00
482,1.39,Subindo,287.72,473.98,139.5,2023-01-08 06:00:00
483,1.46,Subindo,287.72,470.12,131.62,2023-01-08 07:00:00
484,1.55,Subindo,287.72,466.27,121.45,2023-01-08 08:00:00
485,1.61,Subindo,287.72,458.61,108.68,2023-01-08 09:00:00
486,1.65,Subindo,275.22,451.02,99.41,2023-01-08 10:00:00
487,1.64,Baixando,273.15,436.01,91.06,2023-01-08 11:00:00
488,1.66,Subindo,273.15,424.91,84.11,2023-01-08 12:00:00
489,1.66,Estável,269.02,413.94,78.44,2023-01-08 13:00:00
490,1.63,Baixando,269.02,399.53,73.93,2023-01-08 14:00:00
491,1.58,Baixando,271.09,385.36,70.51,2023-01-08 15:00:00
492,1.56,Baixando,273.15,371.43,66.7,2023-01-08 16:00:00
493,1.49,Baixando,289.82,374.89,63.44,2023-01-08 17:00:00
494,1.48,Baixando,294.02,364.56,60.72,2023-01-08 18:00:00
495,1.46,Baixando,296.13,364.56,58.04,2023-01-08 19:00:00
496,1.42,Baixando,294.02,374.89,55.86,2023-01-08 20:00:00
497,1.4,Baixando,281.46,371.43,53.72,2023-01-08 21:00:00
498,1.38,Baixando,275.22,388.88,51.2,2023-01-08 22:00:00
499,1.37,Baixando,262.86,399.53,49.96,2023-01-08 23:00:00
510,1.01,Estável,254.69,403.11,48.73,2023-01-09 00:00:00
501,1.36,Baixando,252.66,399.53,48.33,2023-01-09 01:00:00
502,1.38,Subindo,250.63,388.88,47.52,2023-01-09 02:00:00
503,1.38,Estável,246.58,371.43,46.33,2023-01-09 03:00:00
504,1.38,Estável,246.58,361.15,44.76,2023-01-09 04:00:00
505,1.37,Baixando,240.54,351.0,43.59,2023-01-09 05:00:00
506,1.35,Baixando,236.54,344.3,42.07,2023-01-09 06:00:00
507,1.32,Baixando,228.57,337.67,41.31,2023-01-09 07:00:00
508,1.24,Baixando,212.84,321.36,39.09,2023-01-09 10:00:00
509,1.24,Estável,205.08,308.58,38.0,2023-01-09 11:00:00
523,1.05,Baixando,131.48,257.02,22.84,2023-01-22 00:00:00
511,1.01,Subindo,232.55,340.98,49.96,2023-01-22 12:00:00
512,1.05,Subindo,232.55,318.14,47.93,2023-01-22 13:00:00
513,1.09,Subindo,218.71,299.16,45.54,2023-01-22 14:00:00
514,1.1,Subindo,216.75,277.72,43.21,2023-01-22 15:00:00
515,1.11,Subindo,214.79,251.25,40.56,2023-01-22 16:00:00
516,1.15,Subindo,193.56,237.08,38.0,2023-01-22 17:00:00
517,1.15,Estável,189.75,228.77,36.57,2023-01-22 18:00:00
518,1.13,Baixando,193.56,223.31,35.51,2023-01-22 19:00:00
519,1.15,Subindo,191.65,220.6,34.47,2023-01-22 20:00:00
520,1.12,Baixando,199.3,217.91,34.13,2023-01-22 21:00:00
521,1.09,Baixando,208.95,212.57,34.13,2023-01-22 22:00:00
522,1.07,Baixando,208.95,207.29,36.92,2023-01-22 23:00:00
524,1.02,Baixando,214.79,245.54,50.37,2023-01-23 01:00:00
525,0.99,Baixando,214.79,248.38,59.37,2023-01-23 02:00:00
526,1.1,Subindo,176.58,280.73,23.7,2023-01-24 00:00:00
527,1.11,Subindo,176.58,262.86,23.12,2023-01-24 01:00:00
528,1.15,Subindo,178.45,259.93,22.84,2023-01-24 02:00:00
529,1.19,Subindo,176.58,254.13,22.27,2023-01-24 03:00:00
530,1.18,Baixando,176.58,262.86,21.99,2023-01-24 04:00:00
531,1.16,Baixando,176.58,259.93,22.27,2023-01-24 05:00:00
532,1.06,Baixando,172.86,254.13,21.99,2023-01-24 06:00:00
533,1.03,Baixando,169.16,254.13,21.99,2023-01-24 07:00:00
534,0.99,Baixando,169.16,262.86,21.44,2023-01-24 08:00:00
552,1.79,Baixando,207.01,199.49,25.76,2023-01-25 00:00:00
535,1.04,Subindo,234.54,364.56,66.23,2023-01-25 04:00:00
536,1.29,Subindo,258.77,566.96,63.9,2023-01-25 07:00:00
537,1.39,Subindo,264.91,614.19,62.07,2023-01-25 08:00:00
538,1.49,Subindo,279.38,658.66,59.82,2023-01-25 09:00:00
539,1.58,Subindo,281.46,686.05,58.93,2023-01-25 10:00:00
540,1.61,Subindo,279.38,704.6,58.49,2023-01-25 11:00:00
541,1.66,Subindo,277.3,709.27,57.6,2023-01-25 12:00:00
542,1.72,Subindo,258.77,709.27,56.29,2023-01-25 13:00:00
543,1.76,Subindo,269.02,718.66,52.45,2023-01-25 15:00:00
544,2.0,Subindo,271.09,728.11,52.45,2023-01-25 16:00:00
545,1.82,Baixando,287.72,718.66,76.42,2023-01-25 17:00:00
546,1.81,Baixando,287.72,695.29,77.42,2023-01-25 18:00:00
547,1.83,Subindo,296.13,676.86,69.55,2023-01-25 19:00:00
548,1.84,Subindo,281.46,672.29,65.76,2023-01-25 20:00:00
549,1.85,Subindo,273.15,690.66,64.83,2023-01-25 21:00:00
550,1.82,Baixando,269.02,713.96,67.64,2023-01-25 22:00:00
551,1.82,Estável,266.97,732.86,69.07,2023-01-25 23:00:00
572,1.2,Baixando,264.91,742.4,67.64,2023-01-26 00:00:00
553,1.82,Subindo,264.91,737.62,65.29,2023-01-26 01:00:00
554,1.82,Estável,254.69,713.96,62.07,2023-01-26 02:00:00
555,1.83,Subindo,252.66,690.66,58.93,2023-01-26 03:00:00
556,1.72,Baixando,252.66,596.81,47.12,2023-01-26 07:00:00
557,1.68,Baixando,250.63,575.41,44.37,2023-01-26 08:00:00
558,1.62,Baixando,236.54,562.75,41.69,2023-01-26 09:00:00
559,1.58,Baixando,234.54,541.95,39.46,2023-01-26 10:00:00
560,1.55,Baixando,228.57,529.64,36.57,2023-01-26 12:00:00
561,1.47,Baixando,226.59,513.44,34.82,2023-01-26 13:00:00
562,1.44,Baixando,222.64,489.59,33.78,2023-01-26 14:00:00
563,1.44,Estável,218.71,470.12,32.43,2023-01-26 15:00:00
564,1.4,Baixando,214.79,454.81,31.43,2023-01-26 16:00:00
565,1.38,Baixando,212.84,443.48,30.45,2023-01-26 17:00:00
566,1.34,Baixando,197.38,436.01,29.8,2023-01-26 18:00:00
567,1.3,Baixando,193.56,428.59,29.16,2023-01-26 19:00:00
568,1.28,Baixando,193.56,421.24,28.22,2023-01-26 20:00:00
569,1.27,Baixando,195.47,417.58,29.16,2023-01-26 21:00:00
570,1.26,Baixando,208.95,406.71,57.17,2023-01-26 22:00:00
571,1.23,Baixando,205.08,388.88,78.94,2023-01-26 23:00:00
594,1.35,Baixando,205.08,374.89,97.71,2023-01-27 00:00:00
573,1.18,Baixando,214.79,364.56,115.9,2023-01-27 01:00:00
574,1.16,Baixando,236.54,361.15,132.27,2023-01-27 02:00:00
575,1.13,Baixando,244.57,364.56,150.35,2023-01-27 03:00:00
576,1.11,Baixando,260.81,367.99,153.12,2023-01-27 04:00:00
577,1.13,Subindo,300.35,374.89,150.35,2023-01-27 05:00:00
578,1.16,Subindo,313.11,381.86,142.85,2023-01-27 06:00:00
579,1.2,Subindo,321.68,399.53,134.88,2023-01-27 07:00:00
580,1.33,Subindo,336.81,493.53,102.84,2023-01-27 10:00:00
581,1.38,Subindo,328.14,525.57,93.81,2023-01-27 11:00:00
582,1.44,Subindo,291.92,546.08,86.22,2023-01-27 12:00:00
583,1.48,Subindo,283.54,562.75,78.44,2023-01-27 13:00:00
584,1.51,Subindo,273.15,571.18,71.97,2023-01-27 14:00:00
585,1.55,Subindo,285.63,571.18,66.23,2023-01-27 15:00:00
586,1.56,Subindo,273.15,566.96,62.99,2023-01-27 16:00:00
587,1.58,Subindo,262.86,541.95,61.62,2023-01-27 17:00:00
588,1.57,Baixando,252.66,513.44,62.99,2023-01-27 18:00:00
589,1.55,Baixando,248.6,493.53,63.9,2023-01-27 19:00:00
590,1.53,Baixando,244.57,481.75,61.62,2023-01-27 20:00:00
591,1.47,Baixando,238.54,473.98,59.37,2023-01-27 21:00:00
592,1.43,Baixando,230.56,462.43,57.17,2023-01-27 22:00:00
593,1.37,Baixando,230.56,447.24,56.29,2023-01-27 23:00:00
595,1.33,Baixando,234.54,413.94,55.43,2023-01-28 01:00:00
596,1.32,Baixando,230.56,403.11,55.43,2023-01-28 02:00:00
597,1.29,Baixando,222.64,392.42,54.57,2023-01-28 03:00:00
598,1.26,Baixando,220.67,388.88,52.03,2023-01-28 04:00:00
599,1.25,Baixando,218.71,392.42,49.14,2023-01-28 05:00:00
600,1.21,Baixando,214.79,392.42,46.33,2023-01-28 06:00:00
601,1.18,Baixando,191.65,381.86,40.19,2023-01-28 09:00:00
602,1.16,Baixando,176.58,371.43,38.72,2023-01-28 10:00:00
603,1.17,Subindo,176.58,364.56,37.64,2023-01-28 11:00:00
604,1.14,Baixando,176.58,347.64,36.57,2023-01-28 12:00:00
605,1.04,Baixando,176.58,265.8,32.77,2023-01-28 17:00:00
606,0.95,Baixando,163.64,262.86,30.45,2023-01-28 20:00:00
607,1.03,,158.17,204.67,19.29,2023-02-10 01:00:00
