,data,hora,nível,estado
339,2022-02-21,16:00:00,1.05,Baixando
340,2022-02-21,18:00:00,0.97,Baixando
341,2022-12-14,01:00:00,1.24,Subindo
342,2022-12-14,02:00:00,1.21,Baixando
343,2022-12-14,03:00:00,1.21,Estável
344,2022-12-14,04:00:00,1.19,Baixando
345,2022-12-14,05:00:00,1.14,Baixando
346,2022-12-14,06:00:00,1.13,Baixando
347,2022-12-14,07:00:00,1.1,Baixando
348,2022-12-14,08:00:00,1.09,Baixando
349,2022-12-14,09:00:00,1.09,Estável
350,2022-12-14,10:00:00,1.07,Baixando
351,2022-12-14,11:00:00,1.08,Subindo
352,2022-12-14,12:00:00,1.1,Subindo
353,2022-12-14,13:00:00,1.13,Subindo
354,2022-12-14,14:00:00,1.17,Subindo
355,2022-12-14,15:00:00,1.2,Subindo
356,2022-12-14,16:00:00,1.21,Subindo
357,2022-12-14,17:00:00,1.23,Subindo
358,2022-12-14,18:00:00,1.24,Subindo
359,2022-12-14,19:00:00,1.25,Subindo
360,2022-12-14,20:00:00,1.26,Subindo
361,2022-12-14,21:00:00,1.25,Baixando
362,2022-12-14,22:00:00,1.21,Baixando
363,2022-12-14,23:00:00,1.18,Baixando
364,2022-12-14,00:00:00,1.13,Baixando
365,2022-12-15,01:00:00,1.11,Baixando
366,2022-12-15,02:00:00,1.07,Baixando
367,2022-12-15,03:00:00,1.05,Baixando
368,2022-12-15,04:00:00,1.03,Baixando
369,2022-12-15,05:00:00,0.99,Baixando
370,2022-12-18,12:00:00,1.0,Subindo
371,2022-12-18,14:00:00,1.02,Subindo
372,2022-12-18,16:00:00,1.0,Baixando
373,2022-12-18,18:00:00,0.96,Baixando
374,2022-12-19,19:00:00,0.89,Subindo
375,2022-12-19,20:00:00,0.91,Subindo
376,2022-12-19,21:00:00,0.92,Subindo
377,2022-12-19,22:00:00,0.92,Estável
378,2022-12-19,23:00:00,0.93,Subindo
379,2022-12-19,00:00:00,0.95,Subindo
380,2022-12-20,01:00:00,0.99,Subindo
381,2022-12-20,02:00:00,1.06,Subindo
382,2022-12-20,03:00:00,1.16,Subindo
383,2022-12-20,04:00:00,1.23,Subindo
384,2022-12-20,05:00:00,1.23,Estável
385,2022-12-20,06:00:00,1.32,Subindo
386,2022-12-20,07:00:00,1.34,Subindo
387,2022-12-20,08:00:00,1.38,Subindo
388,2022-12-20,09:00:00,1.33,Baixando
389,2022-12-20,10:00:00,1.39,Subindo
390,2022-12-20,11:00:00,1.41,Subindo
391,2022-12-20,12:00:00,1.39,Baixando
392,2022-12-20,13:00:00,1.38,Baixando
393,2022-12-20,14:00:00,1.37,Baixando
394,2022-12-20,15:00:00,1.34,Baixando
395,2022-12-20,16:00:00,1.31,Baixando
396,2022-12-20,17:00:00,1.29,Baixando
397,2022-12-20,18:00:00,1.27,Baixando
398,2022-12-20,19:00:00,1.25,Baixando
399,2022-12-20,20:00:00,1.24,Baixando
400,2022-12-20,21:00:00,1.21,Baixando
401,2022-12-20,22:00:00,1.21,Estável
402,2022-12-20,23:00:00,1.21,Estável
403,2022-12-20,00:00:00,1.18,Baixando
404,2022-12-21,01:00:00,1.17,Baixando
405,2022-12-21,02:00:00,1.14,Baixando
406,2022-12-21,03:00:00,1.12,Baixando
407,2022-12-21,04:00:00,1.09,Baixando
408,2022-12-21,05:00:00,1.08,Baixando
409,2022-12-21,06:00:00,1.08,Estável
410,2022-12-21,07:00:00,1.08,Estável
411,2022-12-21,08:00:00,1.12,Subindo
412,2022-12-21,09:00:00,1.13,Subindo
413,2022-12-21,10:00:00,1.15,Subindo
414,2022-12-21,11:00:00,1.17,Subindo
415,2022-12-21,12:00:00,1.19,Subindo
416,2022-12-21,13:00:00,1.25,Subindo
417,2022-12-21,14:00:00,1.32,Subindo
418,2022-12-21,15:00:00,1.38,Subindo
419,2022-12-21,16:00:00,1.44,Subindo
420,2022-12-21,17:00:00,1.5,Subindo
421,2022-12-21,18:00:00,1.53,Subindo
422,2022-12-21,19:00:00,1.57,Subindo
423,2022-12-21,20:00:00,1.59,Subindo
424,2022-12-21,21:00:00,1.65,Subindo
425,2022-12-21,22:00:00,1.66,Subindo
426,2022-12-21,23:00:00,1.71,Subindo
427,2022-12-21,00:00:00,1.74,Subindo
428,2022-12-22,01:00:00,1.77,Subindo
429,2022-12-22,02:00:00,1.79,Subindo
430,2022-12-22,03:00:00,1.79,Subindo
431,2022-12-22,04:00:00,1.79,Estável
432,2022-12-22,05:00:00,1.77,Baixando
433,2022-12-22,06:00:00,1.75,Baixando
434,2022-12-22,07:00:00,1.7,Baixando
435,2022-12-22,08:00:00,1.68,Baixando
436,2022-12-22,09:00:00,1.63,Baixando
437,2022-12-22,10:00:00,1.58,Baixando
438,2022-12-22,11:00:00,1.53,Baixando
439,2022-12-22,12:00:00,1.51,Baixando
440,2022-12-22,13:00:00,1.49,Baixando
441,2022-12-22,14:00:00,1.47,Baixando
442,2022-12-22,15:00:00,1.42,Baixando
443,2022-12-22,16:00:00,1.41,Baixando
444,2022-12-22,17:00:00,1.38,Baixando
445,2022-12-22,18:00:00,1.34,Baixando
446,2022-12-22,19:00:00,1.31,Baixando
447,2022-12-22,20:00:00,1.27,Baixando
448,2022-12-22,21:00:00,1.27,Estável
449,2022-12-22,22:00:00,1.24,Baixando
450,2022-12-22,23:00:00,1.25,Subindo
451,2022-12-22,00:00:00,1.23,Baixando
452,2022-12-23,01:00:00,1.22,Baixando
453,2022-12-23,02:00:00,1.21,Baixando
454,2022-12-23,03:00:00,1.21,Estável
455,2022-12-23,04:00:00,1.17,Baixando
456,2022-12-23,05:00:00,1.16,Baixando
457,2022-12-23,06:00:00,1.15,Baixando
458,2022-12-23,07:00:00,1.15,Estável
459,2022-12-23,08:00:00,1.15,Estável
460,2022-12-23,09:00:00,1.16,Subindo
461,2022-12-23,10:00:00,1.13,Baixando
462,2022-12-23,11:00:00,1.13,Estável
463,2022-12-23,12:00:00,1.13,Estável
464,2022-12-23,13:00:00,1.09,Baixando
465,2022-12-23,14:00:00,1.1,Subindo
466,2022-12-23,15:00:00,1.07,Baixando
467,2022-12-23,16:00:00,1.07,Estável
468,2022-12-23,17:00:00,1.05,Baixando
469,2022-12-23,18:00:00,1.03,Baixando
470,2022-12-23,19:00:00,1.02,Baixando
471,2022-12-23,20:00:00,1.0,Baixando
472,2022-12-23,21:00:00,0.99,Baixando
473,2022-12-23,22:00:00,0.95,Baixando
474,2022-12-27,03:00:00,1.08,Subindo
475,2022-12-27,04:00:00,1.13,Subindo
476,2022-12-27,05:00:00,1.18,Subindo
477,2022-12-27,06:00:00,1.21,Subindo
478,2022-12-27,07:00:00,1.23,Subindo
479,2022-12-27,08:00:00,1.22,Baixando
480,2022-12-27,09:00:00,1.2,Baixando
481,2022-12-27,10:00:00,1.16,Baixando
482,2022-12-27,11:00:00,1.13,Baixando
483,2022-12-27,12:00:00,1.06,Baixando
484,2022-12-27,13:00:00,1.03,Baixando
485,2023-01-07,12:00:00,1.0,Subindo
486,2023-01-07,14:00:00,1.05,Subindo
487,2023-01-07,16:00:00,1.05,Estável
488,2023-01-07,17:00:00,1.1,Subindo
489,2023-01-07,18:00:00,1.2,Subindo
490,2023-01-07,19:00:00,1.3,Subindo
491,2023-01-07,20:00:00,1.39,Subindo
492,2023-01-07,21:00:00,1.44,Subindo
493,2023-01-07,22:00:00,1.44,Estável
494,2023-01-07,23:00:00,1.45,Subindo
495,2023-01-07,00:00:00,1.42,Baixando
496,2023-01-08,01:00:00,1.37,Baixando
497,2023-01-08,02:00:00,1.34,Baixando
498,2023-01-08,03:00:00,1.33,Baixando
499,2023-01-08,04:00:00,1.31,Baixando
500,2023-01-08,05:00:00,1.33,Subindo
501,2023-01-08,06:00:00,1.39,Subindo
502,2023-01-08,07:00:00,1.46,Subindo
503,2023-01-08,08:00:00,1.55,Subindo
504,2023-01-08,09:00:00,1.61,Subindo
505,2023-01-08,10:00:00,1.65,Subindo
506,2023-01-08,11:00:00,1.64,Baixando
507,2023-01-08,12:00:00,1.66,Subindo
508,2023-01-08,13:00:00,1.66,Estável
509,2023-01-08,14:00:00,1.63,Baixando
510,2023-01-08,15:00:00,1.58,Baixando
511,2023-01-08,16:00:00,1.56,Baixando
512,2023-01-08,17:00:00,1.49,Baixando
513,2023-01-08,18:00:00,1.48,Baixando
514,2023-01-08,19:00:00,1.46,Baixando
515,2023-01-08,20:00:00,1.42,Baixando
516,2023-01-08,21:00:00,1.4,Baixando
517,2023-01-08,22:00:00,1.38,Baixando
518,2023-01-08,23:00:00,1.37,Baixando
519,2023-01-08,00:00:00,1.37,Estável
520,2023-01-09,01:00:00,1.36,Baixando
521,2023-01-09,02:00:00,1.38,Subindo
522,2023-01-09,03:00:00,1.38,Estável
523,2023-01-09,04:00:00,1.38,Estável
524,2023-01-09,05:00:00,1.37,Baixando
525,2023-01-09,06:00:00,1.35,Baixando
526,2023-01-09,07:00:00,1.32,Baixando
527,2023-01-09,10:00:00,1.24,Baixando
528,2023-01-09,11:00:00,1.24,Estável
529,2023-01-09,12:00:00,1.21,Baixando
530,2023-01-09,13:00:00,1.2,Baixando
531,2023-01-09,14:00:00,1.19,Baixando
532,2023-01-09,15:00:00,1.18,Baixando
533,2023-01-09,16:00:00,1.19,Subindo
534,2023-01-09,17:00:00,1.15,Baixando
535,2023-01-09,18:00:00,1.13,Baixando
536,2023-01-09,21:00:00,1.09,Baixando
537,2023-01-09,22:00:00,1.06,Baixando
538,2023-01-09,23:00:00,1.01,Baixando
539,2023-01-09,00:00:00,1.01,Estável
540,2023-01-10,01:00:00,0.99,Baixando
541,2023-01-10,02:00:00,0.96,Baixando
542,2023-01-22,12:00:00,1.01,Subindo
543,2023-01-22,13:00:00,1.05,Subindo
544,2023-01-22,14:00:00,1.09,Subindo
545,2023-01-22,15:00:00,1.1,Subindo
546,2023-01-22,16:00:00,1.11,Subindo
547,2023-01-22,17:00:00,1.15,Subindo
548,2023-01-22,18:00:00,1.15,Estável
549,2023-01-22,19:00:00,1.13,Baixando
550,2023-01-22,20:00:00,1.15,Subindo
551,2023-01-22,21:00:00,1.12,Baixando
552,2023-01-22,22:00:00,1.09,Baixando
553,2023-01-22,23:00:00,1.07,Baixando
554,2023-01-22,00:00:00,1.05,Baixando
555,2023-01-23,01:00:00,1.02,Baixando
556,2023-01-23,02:00:00,0.99,Baixando
557,2023-01-24,00:00:00,1.1,Subindo
558,2023-01-24,01:00:00,1.11,Subindo
559,2023-01-24,02:00:00,1.15,Subindo
560,2023-01-24,03:00:00,1.19,Subindo
561,2023-01-24,04:00:00,1.18,Baixando
562,2023-01-24,05:00:00,1.16,Baixando
563,2023-01-24,06:00:00,1.06,Baixando
564,2023-01-24,07:00:00,1.03,Baixando
565,2023-01-24,08:00:00,0.99,Baixando
566,2023-01-25,04:00:00,1.04,Subindo
567,2023-01-25,05:00:00,1.11,Subindo
568,2023-01-25,06:00:00,1.21,Subindo
569,2023-01-25,07:00:00,1.29,Subindo
570,2023-01-25,08:00:00,1.39,Subindo
571,2023-01-25,09:00:00,1.49,Subindo
572,2023-01-25,10:00:00,1.58,Subindo
573,2023-01-25,11:00:00,1.61,Subindo
574,2023-01-25,12:00:00,1.66,Subindo
575,2023-01-25,13:00:00,1.72,Subindo
576,2023-01-25,15:00:00,1.76,Subindo
577,2023-01-25,16:00:00,2.0,Subindo
578,2023-01-25,17:00:00,1.82,Baixando
579,2023-01-25,18:00:00,1.81,Baixando
580,2023-01-25,19:00:00,1.83,Subindo
581,2023-01-25,20:00:00,1.84,Subindo
582,2023-01-25,21:00:00,1.85,Subindo
583,2023-01-25,22:00:00,1.82,Baixando
584,2023-01-25,23:00:00,1.82,Estável
585,2023-01-25,00:00:00,1.79,Baixando
586,2023-01-26,01:00:00,1.82,Subindo
587,2023-01-26,02:00:00,1.82,Estável
588,2023-01-26,03:00:00,1.83,Subindo
589,2023-01-26,04:00:00,1.81,Baixando
590,2023-01-26,05:00:00,1.79,Baixando
591,2023-01-26,06:00:00,1.76,Baixando
592,2023-01-26,07:00:00,1.72,Baixando
593,2023-01-26,08:00:00,1.68,Baixando
594,2023-01-26,09:00:00,1.62,Baixando
595,2023-01-26,10:00:00,1.58,Baixando
596,2023-01-26,12:00:00,1.55,Baixando
597,2023-01-26,13:00:00,1.47,Baixando
598,2023-01-26,14:00:00,1.44,Baixando
599,2023-01-26,15:00:00,1.44,Estável
600,2023-01-26,16:00:00,1.4,Baixando
601,2023-01-26,17:00:00,1.38,Baixando
602,2023-01-26,18:00:00,1.34,Baixando
603,2023-01-26,19:00:00,1.3,Baixando
604,2023-01-26,20:00:00,1.28,Baixando
605,2023-01-26,21:00:00,1.27,Baixando
606,2023-01-26,22:00:00,1.26,Baixando
607,2023-01-26,23:00:00,1.23,Baixando
608,2023-01-26,00:00:00,1.2,Baixando
609,2023-01-27,01:00:00,1.18,Baixando
610,2023-01-27,02:00:00,1.16,Baixando
611,2023-01-27,03:00:00,1.13,Baixando
612,2023-01-27,04:00:00,1.11,Baixando
613,2023-01-27,05:00:00,1.13,Subindo
614,2023-01-27,06:00:00,1.16,Subindo
615,2023-01-27,07:00:00,1.2,Subindo
616,2023-01-27,10:00:00,1.33,Subindo
617,2023-01-27,11:00:00,1.38,Subindo
618,2023-01-27,12:00:00,1.44,Subindo
619,2023-01-27,13:00:00,1.48,Subindo
620,2023-01-27,14:00:00,1.51,Subindo
621,2023-01-27,15:00:00,1.55,Subindo
622,2023-01-27,16:00:00,1.56,Subindo
623,2023-01-27,17:00:00,1.58,Subindo
624,2023-01-27,18:00:00,1.57,Baixando
625,2023-01-27,19:00:00,1.55,Baixando
626,2023-01-27,20:00:00,1.53,Baixando
627,2023-01-27,21:00:00,1.47,Baixando
628,2023-01-27,22:00:00,1.43,Baixando
629,2023-01-27,23:00:00,1.37,Baixando
630,2023-01-27,00:00:00,1.35,Baixando
631,2023-01-28,01:00:00,1.33,Baixando
632,2023-01-28,02:00:00,1.32,Baixando
633,2023-01-28,03:00:00,1.29,Baixando
634,2023-01-28,04:00:00,1.26,Baixando
635,2023-01-28,05:00:00,1.25,Baixando
636,2023-01-28,06:00:00,1.21,Baixando
637,2023-01-28,09:00:00,1.18,Baixando
638,2023-01-28,10:00:00,1.16,Baixando
639,2023-01-28,11:00:00,1.17,Subindo
640,2023-01-28,12:00:00,1.14,Baixando
641,2023-01-28,17:00:00,1.04,Baixando
642,2023-01-28,20:00:00,0.95,Baixando
643,2023-02-10,01:00:00,1.03,
